step,time,x0,x1,x2,x3,x4,x5,xhat0,xhat1,xhat2,xhat3,xhat4,xhat5
143,2.8600,0.3293,0.3597,-0.0655,0.0523,0.4986,1.8734,0.1079,0.1730,-0.0415,-1.0250,1.8265,1.9015
144,2.8800,0.3303,0.3670,-0.0323,0.0454,0.2295,1.4453,0.0911,0.2545,-0.0158,-1.0186,1.9301,1.4663
145,2.9000,0.3311,0.3686,-0.0047,0.0443,-0.0633,1.3196,0.0116,0.3886,0.0051,-1.2882,2.4079,1.3342
146,2.9200,0.3320,0.3636,0.0248,0.0484,-0.4369,1.6317,0.1389,0.5022,0.0236,-0.6073,2.5748,1.6364
147,2.9400,0.3330,0.3508,0.0469,0.0578,-0.8466,0.5766,0.2048,0.4828,0.0594,-0.2412,1.6432,0.5932
148,2.9600,0.3343,0.3311,0.0510,0.0695,-1.1272,-0.1663,0.1366,0.4831,0.0598,-0.5162,1.1293,-0.1532
149,2.9800,0.3357,0.3064,0.0516,0.0810,-1.3378,0.2263,0.2268,0.5727,0.0633,-0.0530,1.4596,0.2417
150,3.0000,0.3375,0.2770,0.0493,0.0925,-1.6040,-0.4537,0.1644,0.6147,0.0367,-0.3331,1.3146,-0.4600
151,3.0200,0.3394,0.2424,0.0457,0.1029,-1.8553,0.0946,0.2720,0.6022,0.0535,0.1990,0.7795,0.1064
152,3.0400,0.3416,0.2035,0.0390,0.1125,-2.0323,-0.7659,0.3630,0.5235,0.0550,0.6039,-0.1212,-0.7471
153,3.0600,0.3439,0.1624,0.0174,0.1190,-2.0774,-1.3999,0.2939,0.5808,0.0276,0.2444,0.3039,-1.3865
154,3.0800,0.3463,0.1198,-0.0042,0.1206,-2.1871,-0.7551,0.4545,0.6039,0.0101,0.9471,0.3359,-0.7384
155,3.1000,0.3487,0.0749,-0.0286,0.1181,-2.3039,-1.6916,0.4070,0.4678,-0.0106,0.6518,-0.8889,-1.6718
156,3.1200,0.3510,0.0295,-0.0575,0.1096,-2.2379,-1.1972,0.1615,0.4297,-0.0339,-0.5067,-0.9865,-1.1729
157,3.1400,0.3531,-0.0145,-0.0633,0.0972,-2.1541,0.6217,0.0801,0.3962,-0.0230,-0.8221,-1.0174,0.6603
158,3.1600,0.3549,-0.0566,-0.0463,0.0862,-2.0621,1.0751,0.0159,0.3303,-0.0001,-1.0348,-1.2891,1.1183
159,3.1800,0.3565,-0.0965,-0.0226,0.0790,-1.9254,1.2962,0.0071,0.3650,0.0015,-0.9950,-0.6898,1.3191
